Model,Configuration,Weighted F1 Mean,Weighted F1 Std,Weighted F1 95% CI,Macro F1 Mean,Macro F1 Std,Macro F1 95% CI
Gradient Boosting,Combined,0.5840906569033129,0.02420900625413273,0.021220129591567664,0.5790724971781778,0.018936604004773414,0.016598665256525896
Gradient Boosting,Text-only,0.5822149671939275,0.024529553656636935,0.02150110177811574,0.5737564543091109,0.02282646968701581,0.020008282859350236
Gradient Boosting,Structured-only,0.3393208289702524,0.00887859825056591,0.007782434499405025,0.3183421171564664,0.011644055906790303,0.0102064650122253
Linear SVM,Combined,0.543700632418644,0.018224672433674295,0.01597462972031,0.5431550702361558,0.01484114327644749,0.013008835650140611
Linear SVM,Text-only,0.5368419027902612,0.029372750398788425,0.025746350898507388,0.5372116831302474,0.0319466113310706,0.02800243947811925
Linear SVM,Structured-only,0.3059397101779742,0.018508760762425067,0.01622364411967281,0.3010269198726371,0.016499313029133232,0.014462285521954431
Logistic Regression,Text-only,0.5453425269930703,0.016526950618340773,0.014486510937009721,0.5482339827315631,0.014126619679930542,0.012382528103471518
Logistic Regression,Combined,0.5395178137042765,0.02144367052400826,0.01879620595168607,0.5430203970242019,0.018401632286012316,0.01612974186988353
Logistic Regression,Structured-only,0.2884047969028673,0.030924704176689095,0.027106698363474204,0.29065657626517694,0.026717534165576227,0.023418951253477413
Random Forest,Combined,0.5897111341771757,0.021411553786728897,0.018768054390239385,0.5787471098906156,0.029706435285719226,0.026038838597882096
Random Forest,Text-only,0.5582180512421445,0.020312417083348955,0.017804618591192936,0.5480961165491023,0.024259251004230303,0.021264171056846085
Random Forest,Structured-only,0.3363992879196939,0.01450602085825256,0.012715087899056364,0.3106184807204371,0.018184269704317243,0.015939215166576995
